Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00177 s | CRYPTO: 0.00000 s | AUTH: 0.62279 s | TOTAL: 0.62456 s | IMPACT: 0.00% | AUTH_IMPACT: 99.72%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00218 s | CRYPTO: 0.00000 s | AUTH: 0.61052 s | TOTAL: 0.61269 s | IMPACT: 0.00% | AUTH_IMPACT: 99.64%
Tempo totale round 2: 243.79 s
=== Report tempi round ===
Round 1: totale=225.83s | crypto=0.00s (0.00%) | auth=23.70s (10.50%) | crypto_cum=0.00s | auth_cum=474.06s | senza_critto=225.83s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Round 2: totale=243.79s | crypto=0.00s (0.00%) | auth=22.09s (9.06%) | crypto_cum=0.00s | auth_cum=441.83s | senza_critto=243.79s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Totale critto (parallel): 0.00s su 469.62s (0.00%)
Totale auth (parallel): 45.79s su 469.62s (9.75%)
Totale auth cumulativo: 915.89s
Early stopping triggered at round 2, stopping server.
Run finished 1000 round(s) in 469.62s
Totale critto: 0.00 s su 469.62 s (0.00%) | auth: 915.89 s (195.03%) | serializzazione: 0.26 s
Overhead totale: 2336960 B su 3408991040 B (0.07%)
Overhead ED448: 2314984 B (0.07%) | medio=265.48 B/msg
Overhead medio auth: 268.00 B/msg
	History (loss, centralized):

		round 1: 2.3490977283477785

		round 2: 0.8292983602523804

	History (metrics, centralized):

	{'accuracy': [(1, 0.1387), (2, 0.7132)],

	 'round_time': [(1, 225.82963658403605), (2, 243.78875817265362)]}


