Encryption disabled
Overhead HMAC: 418560 B (0.01%) | medio=32.00 B/msg
Overhead medio integrity: 32.00 B/msg
	History (loss, centralized):

		round 1: 2.3679034770965575

		round 2: 0.8666573665618896

		round 3: 0.5165976500511169

	History (metrics, centralized):

	{'accuracy': [(1, 0.1357), (2, 0.6999), (3, 0.8284)],

	 'round_time': [(1, 192.09393516276032),

	                (2, 204.3269714070484),

	                (3, 185.8221280882135)]}


