Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00591 s | CRYPTO: 0.00000 s | AUTH: 959.36543 s | TOTAL: 959.37134 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.03160 s | CRYPTO: 0.00000 s | AUTH: 929.19351 s | TOTAL: 929.22512 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00642 s | CRYPTO: 0.00000 s | AUTH: 928.77320 s | TOTAL: 928.77962 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00446 s | CRYPTO: 0.00000 s | AUTH: 939.97062 s | TOTAL: 939.97508 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00612 s | CRYPTO: 0.00000 s | AUTH: 929.95860 s | TOTAL: 929.96472 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
Tempo totale round 2: 3041.16 s
=== Report tempi round ===
Round 1: totale=3017.84s | crypto=0.00s (0.00%) | auth=2320.32s (76.89%) | crypto_cum=0.00s | auth_cum=46406.36s | senza_critto=3017.84s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Round 2: totale=3041.16s | crypto=0.00s (0.00%) | auth=2271.93s (74.71%) | crypto_cum=0.00s | auth_cum=45438.61s | senza_critto=3041.16s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Totale critto (parallel): 0.00s su 6059.01s (0.00%)
Totale auth (parallel): 4592.25s su 6059.01s (75.79%)
Totale auth cumulativo: 91844.97s
Early stopping triggered at round 2, stopping server.
Run finished 1000 round(s) in 6059.01s
Totale critto: 0.00 s su 6059.01 s (0.00%) | auth: 91844.97 s (1515.84%) | serializzazione: 1.97 s
Overhead totale: 2380560 B su 3408991040 B (0.07%)
Overhead ECCFROG522PP: 2380560 B (0.07%) | medio=273.00 B/msg
Overhead medio auth: 273.03 B/msg
	History (loss, centralized):

		round 1: 2.349097752761841

		round 2: 0.8524479016304016

	History (metrics, centralized):

	{'accuracy': [(1, 0.1387), (2, 0.7076)],

	 'round_time': [(1, 3017.8431186005473), (2, 3041.164818019606)]}


