Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00104 s | CRYPTO: 0.00000 s | AUTH: 1.21622 s | TOTAL: 1.21726 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00103 s | CRYPTO: 0.00000 s | AUTH: 1.22397 s | TOTAL: 1.22501 s | IMPACT: 0.00% | AUTH_IMPACT: 99.92%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00096 s | CRYPTO: 0.00000 s | AUTH: 1.20054 s | TOTAL: 1.20150 s | IMPACT: 0.00% | AUTH_IMPACT: 99.92%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00101 s | CRYPTO: 0.00000 s | AUTH: 1.22974 s | TOTAL: 1.23075 s | IMPACT: 0.00% | AUTH_IMPACT: 99.92%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00109 s | CRYPTO: 0.00000 s | AUTH: 2.33481 s | TOTAL: 2.33590 s | IMPACT: 0.00% | AUTH_IMPACT: 99.95%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00121 s | CRYPTO: 0.00000 s | AUTH: 3.09030 s | TOTAL: 3.09151 s | IMPACT: 0.00% | AUTH_IMPACT: 99.96%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.02344 s | CRYPTO: 0.00000 s | AUTH: 3.06081 s | TOTAL: 3.08425 s | IMPACT: 0.00% | AUTH_IMPACT: 99.24%
Tempo totale round 2: 301.74 s
=== Report tempi round ===
Round 1: totale=281.76s | crypto=0.00s (0.00%) | auth=70.46s (25.01%) | crypto_cum=0.00s | auth_cum=1409.15s | senza_critto=281.76s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Round 2: totale=301.74s | crypto=0.00s (0.00%) | auth=70.23s (23.27%) | crypto_cum=0.00s | auth_cum=1404.55s | senza_critto=301.74s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Totale critto (parallel): 0.00s su 583.50s (0.00%)
Totale auth (parallel): 140.69s su 583.50s (24.11%)
Totale auth cumulativo: 2813.70s
Early stopping triggered at round 2, stopping server.
Run finished 1000 round(s) in 583.50s
Totale critto: 0.00 s su 583.50 s (0.00%) | auth: 2813.70 s (482.21%) | serializzazione: 0.27 s
Overhead totale: 3858597 B su 3408991040 B (0.11%)
Overhead KOBLITZ_512: 3851960 B (0.11%) | medio=442.09 B/msg
Overhead medio auth: 442.50 B/msg
	History (loss, centralized):

		round 1: 2.3463776527404785

		round 2: 0.7891663625717164

	History (metrics, centralized):

	{'accuracy': [(1, 0.1366), (2, 0.732)],

	 'round_time': [(1, 281.7564930068329), (2, 301.74249272421)]}


